id,rating,title,content,author,date,helpful_votes,verified_purchase
1,5,"가성비 갑","이 가격에 노이즈 캔슬링이 이 정도라니 놀랍습니다.",이영희,2025-02-18,5,true
2,5,"디자인이 예뻐요","장시간 착용해도 귀가 전혀 아프지 않아서 좋아요.",박지민,2025-02-25,5,true
3,3,"노이즈 캔슬링 대박","헬스장에서 운동할 때 쓰는데 땀 흘려도 괜찮고 잘 안 빠져요.",최민수,2025-02-18,4,true
4,4,"조금 비싸지만 만족","지하철에서 노캔 켜면 정말 조용해집니다. 신기해요.",정대연,2025-02-16,37,true
5,4,"배터리가 아쉬워요","배터리는 하루 종일 쓰기엔 조금 모자란 느낌이에요.",강수진,2025-02-03,7,true
6,5,"운동할 때 딱임","블루투스 페어링 속도가 정말 빨라서 편합니다.",윤도현,2025-02-25,36,true
7,4,"연결이 가끔 끊겨요","통화할 때 제 목소리가 상대방에게 잘 전달된다고 하네요.",한미나,2025-02-10,27,true
8,5,"착용감이 너무 좋아요","디자인이 세련되어서 어디에나 잘 어울려요.",조성우,2025-02-05,21,true
9,3,"추천합니다","충전 케이스가 작아서 주머니에 넣고 다니기 좋습니다.",임지연,2025-02-14,5,true
10,4,"선물용으로 샀는데 좋아하네요","노이즈 캔슬링은 좋은데 주변 소음 듣기 모드는 약간 이질감이 있어요.",장동건,2025-02-22,47,true
11,4,"통화 품질이 좋아요","귀에 쏙 들어가서 격렬한 운동을 해도 빠질 걱정이 없네요.",고소영,2025-02-03,4,true
12,3,"색상이 실물이 더 이쁨","음질은 정말 하이엔드급입니다. 만족스러워요.",홍길동,2025-02-02,44,true
13,4,"박스가 찌그러져 왔어요","터치 조작이 생각보다 민감해서 가끔 오작동할 때가 있네요.",성춘향,2025-02-06,33,true
14,5,"배송 빨라요","전반적으로 아주 훌륭한 제품입니다. 재구매 의사 있어요.",이몽룡,2025-02-04,37,false
15,4,"음질 최고예요","베이스가 웅장하고 고음도 깨끗해요. 음악 듣는 맛이 나네요.",김철수,2025-02-17,19,true
16,4,"가성비 갑","이 가격에 노이즈 캔슬링이 이 정도라니 놀랍습니다.",이영희,2025-02-01,24,true
17,3,"디자인이 예뻐요","장시간 착용해도 귀가 전혀 아프지 않아서 좋아요.",박지민,2025-02-14,16,true
18,4,"노이즈 캔슬링 대박","헬스장에서 운동할 때 쓰는데 땀 흘려도 괜찮고 잘 안 빠져요.",최민수,2025-02-20,22,true
19,4,"조금 비싸지만 만족","지하철에서 노캔 켜면 정말 조용해집니다. 신기해요.",정대연,2025-02-14,38,true
20,3,"배터리가 아쉬워요","배터리는 하루 종일 쓰기엔 조금 모자란 느낌이에요.",강수진,2025-02-25,32,true
21,5,"운동할 때 딱임","블루투스 페어링 속도가 정말 빨라서 편합니다.",윤도현,2025-02-19,28,true
22,5,"연결이 가끔 끊겨요","통화할 때 제 목소리가 상대방에게 잘 전달된다고 하네요.",한미나,2025-02-04,31,false
